hashval,pangenome_classification
4978908784548915,1
5135999961437442,1
5136417118489340,1
5146597040108503,1
5149220108498092,1
5206674262219549,1
5226962306161482,1
5259309693203965,1
5344992347605977,1
5358915937303790,1
5390085185202043,1
5402633004192967,1
5453684566022043,1
5490815509169769,1
5563785869027712,1
5608030571723519,1
5622233612816715,1
5664050936977190,1
5681117485668568,1
5708430917723890,1
5815679128441115,1
5816011165985590,1
5835701460584600,1
5841236759542072,1
5897099213182830,1
5982226486306707,1
6022449996342644,1
6061031073316784,1
6100014047043175,1
6101191921074464,1
6175956820419005,1
6313753359543386,1
6371275214498775,1
6391853932953886,1
6397717957988688,1
6431420011367178,1
6516946942453523,1
6549579801628378,1
6571690635051687,1
6623891001742106,1
6686096648094645,1
6720116931102743,1
6754138364435086,1
6780285576549463,1
6784311863786609,1
6988680716542575,1
7013774723514164,1
7085067490934304,1
7199054002500601,1
7245913635380843,1
7262741690518434,1
7325994943048386,1
7349629886859160,1
7380681218255936,1
7419192786077783,1
7427113209204277,1
7445559270694155,1
7463694511539325,1
7469222098144860,1
7580389142322936,1
7583473337910226,1
7628093807424815,1
7671317238347015,1
7690020725883016,1
7693914291214374,1
7709837541271155,1
7716615787869190,1
7779067930722425,1
7798376942064729,1
7828060351578029,1
7898242936911100,1
7932358149857804,1
8002116678073943,1
8009000228678724,1
8030461536771941,1
8067816261846762,1
8136602135976383,1
8212194552160568,1
8295261147964500,1
8321429754067900,1
8355611993598752,1
8357691539514527,1
8401186286544522,1
8406364962849448,1
8465750903934783,1
8504001327330544,1
8517797131089457,1
8519976130386979,1
8522840047854524,1
8616275702173944,1
8628000591097362,1
8639160325135243,1
8756725648939593,1
8906889523911460,1
9020302681987545,1
9024384160908104,1
9035144184639818,1
9039815869746411,1
9070048279152265,1
9073936594038858,1
9089267790269025,1
9091256033550056,1
9104596321397185,1
9112386325563704,1
9138938120639412,1
9150055566701542,1
9154763729264217,1
9165436105237960,1
9173957374378977,1
9205094825470291,1
9212932550757733,1
9218603559502056,1
9251138038512350,1
9298993680023365,1
9307274383655932,1
9393615011407859,1
9483719739211813,1
9509808020290789,1
9528460475513498,1
9565352100328572,1
9580241732337660,1
9651340103599328,1
9658986769737245,1
9782869144915688,1
9805243340029945,1
9811367099220591,1
9820016685412192,1
9845700060393270,1
9995328986044428,1
10019151216661248,1
10053562068291996,1
10090237077833510,1
10147191716125217,1
10147233058432721,1
10171707835584808,1
10173054646837764,1
10202439082365860,1
10203130970266117,1
10218240305006269,1
10337130841597185,1
10355919787512489,1
10414339612471158,1
10420380173732122,1
10609267190073271,1
10614065645862930,1
10637570167238722,1
10640162630953160,1
10678705686061357,1
10682773477220520,1
10708544522796089,1
10734663123395626,1
10802113173554114,1
10823190116766653,1
10850129102151268,1
10855629027631174,1
10871097369198974,1
10883254074582966,1
10892122763734935,1
10963729073752159,1
10966298972312941,1
10973888725842212,1
11108178733364178,1
11108541069785997,1
11125790042832221,1
11127562615262441,1
11242095296787849,1
11301778001281464,1
11324097885814908,1
11343200134777483,1
11348093214440813,1
11367406797210954,1
11386488857834679,1
11398809486438497,1
11464162558399198,1
11524147222558102,1
11603606287948312,1
11754475005885831,1
11757437340451548,1
11859020441165569,1
11869955369757195,1
11888240259331501,1
11909393138956946,1
